ID,ActionType,ActionParameters,ProcessType,StrategyType,Priority,RequiredGameplayTags,TransitionAllowedProgresses,RequiredActions,RequireAmmo,RequireCast,AllowedStates,ActionSequence,PreDelay,Duration,PostDelay,CooldownTime,ActionEnterDistance,Weight,ModifierIds
string,EActionType,List<string>,EActionProcessType,EActionStrategyType,int,List<string>,List<string>,List<string>,int,bool,List<string>,string,float,float,float,float,float,float,List<string>
None_Base,Base,,Parallel,Base,0,,,,1,FALSE,Idle,,0,0,0,0,0,0,
Attack_Base,Base,,Sequential,Base,0,,,,1,FALSE,Idle,,0,0.1,1,0,0.5,10,Attack_Base;Animation_Attack;Effect_Slash_001
Attack_Base01,Base,,Sequential,Base,0,,PostAction,Attack_Base,1,FALSE,Idle;Action,,0,0.1,1,0,0.5,10,Attack_Base01;Animation_Attack;Effect_Slash_002
Attack_Base02,Base,,Sequential,Base,0,,PostAction,Attack_Base01,1,FALSE,Idle;Action,,0,0.1,1,0,0.5,10,Attack_Base02;Animation_Attack;Effect_Spike_001
Attack_Sub,Continuous,,Sequential,Cast,0,,,,1,FALSE,Idle,,1,1,0,0,0.5,5,Projectile_Base
Skill_Base,Base,,Sequential,Base,1,,,,1,TRUE,Idle,,0,0.1,1,3,0.5,1,Attack_Base02;Animation_Attack;Effect_Spike_001
Reload_Base,Continuous,0.5,Sequential,Base,0,,,,0,FALSE,Idle;Action,,0,1,0,0,0,0,Reload_Base;Movement_Reload
Dodge_Base,Base,,Sequential,Base,0,,PreAction;Action;PostAction,,0,FALSE,Idle;Action,,0,0.25,0,0,1,0,Dodge_Base
Guard_Base,Continuous,,Sequential,Hold,0,,PreAction,,0,FALSE,Idle;Action,,0,0,0,0,0,0,Guard_Base
Cancel_Base,Base,,Sequential,Base,0,,,,0,FALSE,Idle,,0,0,0,0,0,0,
DashAttack_Base,Base,,Sequential,Base,0,,,,1,FALSE,Idle,,0,0.1,1,0,3,7,Attack_Base;Dodge_Base;Animation_Attack;Effect_Slash_001
FireAttack_Base,Base,,Sequential,Base,0,,,,1,FALSE,Idle,,0,0.1,1,0,5,8,Projectile_Base;Animation_Attack
ContinuousFireAttack_Base,Continuous,0.1;5,Sequential,Hold,0,,,,1,FALSE,Idle,,0,0.1,1,0,5,8,Projectile_Base;Animation_Attack
Interact_Base,Base,,Sequential,Toggle,0,,,,0,FALSE,Idle,,0,0,0,0,0.5,0,Effect_Reload
