ID,TargetFilterType,IsGuardBreak,IsStun,IsStrike,IsBound,StaggerTime,KnockbackDirectionType,KnockbackForce,KnockbackSpaceType,KnockbackOffset
string,ETargetFilterType,bool,bool,bool,bool,float,EKnockbackDirectionType,Vector2,EActionSpaceType,Vector2
None,Enemy,FALSE,FALSE,FALSE,FALSE,0.5,None,0/0,World,0/0
GuardBreak,Enemy,TRUE,FALSE,FALSE,FALSE,0.5,None,0/0,World,0/0
GuardBreakStun,Enemy,TRUE,TRUE,FALSE,FALSE,0.5,None,0/0,World,0/0
Stun,Enemy,FALSE,TRUE,FALSE,FALSE,2,None,0/0,World,0/0
Strike,Enemy,FALSE,FALSE,TRUE,FALSE,0.5,OwnerHorizontal,20/0,World,0/20
StrikeAndBound,Enemy,FALSE,FALSE,TRUE,TRUE,0.5,OwnerHorizontal,20/0,World,0/20
GuardBreakStrike,Enemy,TRUE,FALSE,TRUE,FALSE,0.5,OwnerHorizontal,20/0,World,0/20
Upper,Enemy,FALSE,FALSE,TRUE,FALSE,0.5,OwnerVertical,0/20,World,0/20
UpperAndBound,Enemy,FALSE,FALSE,TRUE,TRUE,0.5,OwnerVertical,0/20,World,0/20
AllyBuff,Ally,TRUE,FALSE,FALSE,FALSE,0,None,0/0,World,0/0
