ID,ActionModifierType,StartPositionType,TargetPositionType,ActionFlipType,Parameters
string,EActionModifierType,EActionStartPositionType,EActionTargetPositionType,EActionFlipType,List<string>
Attack_Base,Attack,None,ViewDirection,None,15;None;Area_Base
Attack_Base01,Attack,None,TargetPosDirection,None,10;Strike;Area_Base
Attack_Base02,Attack,None,TargetPos,None,10;GuardBreakStun;Area_Base
Attack_Strike01,Attack,None,TargetPosDirection,None,10;Strike;Area_Base
Attack_Stun01,Attack,None,TargetPosDirection,None,10;Stun;Area_Base
Attack_Upper01,Attack,None,TargetPosDirection,None,10;Upper;Area_Base
MagicAttack_Base,Attack,TargetPos,TargetPosDirection,None,10;None;Area_Base
Projectile_Base,Projectile,None,TargetPosDirection,None,Base;0;10;1;5;Strike
Projectile_Ice_Base_001,Projectile,None,TargetPosDirection,None,Ice;0;10;1;5;Strike
Dodge_Base,Dodge,None,ViewDirection,None,DoAction;Base/6/0.5/0/FALSE
Dodge_Base01,Dodge,None,TargetPosDirection,None,DoAction;Base/6/0.5/0/FALSE
Dodge_Base02,Dodge,None,TargetPos,None,DoAction;Base/6/0.5/0/FALSE
Dodge_Force,Dodge,None,ViewDirection,None,DoAction;Force/6/0.5/0/TRUE
Dodge_Force01,Dodge,None,ViewDirection,None,DoAction;Force/20/0.2/0/TRUE
Dodge_Teleport,Dodge,None,ViewDirection,None,DoAction;Teleport/6/-1/0/FALSE
Dodge_Teleport01,Dodge,None,TargetPosDirection,None,DoAction;Teleport/6/-1/0/FALSE
Dodge_Teleport02,Dodge,None,TargetPos,None,DoAction;Teleport/6/-1/0/FALSE
Reload_Base,Reload,None,None,None,1
Reload_All,Reload,None,None,None,100
Guard_Base,Guard,None,ViewDirection,None,90;2;0;1;0
Guard_MouseDirection,Guard,None,TargetPosDirection,None,90;2;0;1;0
Buff_Base,Attack,None,ViewDirection,None,10;None;Area_Base
Buff_Base01,Attack,None,ViewDirection,None,0;AllyBuff;Area_Base
StatusEffect_Base001,StatusEffect,None,None,None,Affected=SE_CriticalRatio_Start;Affected=SE_CriticalRatio_Damage
StatusEffect_Base002,StatusEffect,None,None,None,Start=SE_Heal_Start;Start=SE_Heal_Update
GameplayTag_Base,GameplayTag,None,None,None,Start=Invincible
Movement_Reload,Movement,None,None,None,0.5
Effect_Slash_001,Effect,None,ViewDirection,ViewDirection,Action_001=DoAction; Action_001=DoAction=OwnerOffset_EulerAngle/20/70/0&Hit_001=Affected=OwnerOffset_StartToEnd
Effect_Slash_002,Effect,None,TargetPosDirection,TargetDirection,Action_002=DoAction=OwnerOffset; Action_002=DoAction=OwnerOffset_StartToEnd/0/90/90&Hit_001=Affected=OwnerOffset_StartToEnd
Effect_Slash_003,Effect,TargetPos,TargetPosDirection,TargetDirection,Action_001=DoAction; Action_001=DoAction=StartOffset&Hit_001=Affected=OwnerOffset_StartToEnd
Effect_Spike_001,Effect,None,TargetPosDirection,TargetDirection,Action_003=DoAction; Action_003=DoAction=OwnerOffset_PreStartToEnd&Hit_001=Affected=OwnerOffset_StartToEnd
Effect_Reload,Effect,None,None,None,Action_001=DoAction&Action_003=Cancel
Effect_ISan_Base_Attack_001,Effect,None,ViewDirection,ViewDirection,Action_001=DoAction; Action_001=DoAction=OwnerCenterOffset_EulerAngle/0/120/-100&Hit_001=Affected=OwnerOffset_StartToEnd
Effect_ISan_Base_Attack_002,Effect,None,ViewDirection,ViewDirection,Action_001=DoAction; Action_001=DoAction=OwnerCenterOffset_EulerAngle/30/0/-20&Hit_001=Affected=OwnerOffset_StartToEnd
Effect_ISan_Base_Attack_003,Effect,None,ViewDirection,ViewDirection,Action_001=DoAction; Action_001=DoAction=OwnerCenterOffset_EulerAngle/40/110/-60&Hit_001=Affected=OwnerOffset_StartToEnd
Effect_ISan_Base_SubAttack_001,Effect,None,ViewDirection,ViewDirection,Action_001=DoAction; Action_001=DoAction=OwnerOffset_EulerAngle/-60/-165/-160&Hit_001=Affected=OwnerOffset_StartToEnd
Effect_Silvia_Base_Attack_001,Effect,None,TargetPos,TargetDirection,Action_003=DoAction; Action_003=DoAction=TargetOffset_PreStartToEnd&Hit_001=Affected=TargetOffset_StartToEnd
Animation_Attack,Animation,None,None,None,DoAction=Character_Attack
Animation_ISan_Attack_Base001,Animation,None,None,None,PreAction=Action_ISan_Attack_001
Animation_ISan_Attack_Base002,Animation,None,None,None,PreAction=Action_ISan_Attack_002
Animation_ISan_Attack_Base003,Animation,None,None,None,PreAction=Action_ISan_Attack_003
Animation_ISan_Attack_Base004,Animation,None,None,None,PreAction=Action_ISan_Attack_004
Animation_ISan_SubAttack_Base001,Animation,None,None,None,DoAction=Action_ISan_Attack_001
WeaponAnimation_Staff_Attack_001,WeaponAnimation,None,None,None,DoAction=Weapon_Staff_Attack_001
WeaponAnimation_Staff_Attack_002,WeaponAnimation,None,None,None,DoAction=Weapon_Staff_Attack_002
WeaponAnimation_Staff_Attack_003,WeaponAnimation,None,None,None,DoAction=Weapon_Staff_Attack_003
WeaponAnimation_Staff_Attack_004,WeaponAnimation,None,None,None,DoAction=Weapon_Staff_Attack_004
