ID,ClipPath
string,AssetPath<AnimationClip>
Character_Attack,Assets/Animations/Human/Character_Attack.anim
Action_ISan_Attack_001,Assets/Animations/Human/Action/A_Action_ISan_Attack_001.anim
Action_ISan_Attack_002,Assets/Animations/Human/Action/A_Action_ISan_Attack_002.anim
Action_ISan_Attack_003,Assets/Animations/Human/Action/A_Action_ISan_Attack_003.anim
Action_ISan_Attack_004,Assets/Animations/Human/Action/A_Action_ISan_Attack_004.anim
Weapon_Staff_Idle_001,Assets/Animations/Weapon/A_Weapon_Staff_Idle_001.anim
Weapon_Staff_Stored_001,Assets/Animations/Weapon/A_Weapon_Staff_Stored_001.anim
Weapon_Staff_Attack_001,Assets/Animations/Weapon/A_Weapon_Staff_Attack_001.anim
Weapon_Staff_Attack_002,Assets/Animations/Weapon/A_Weapon_Staff_Attack_002.anim
Weapon_Staff_Attack_003,Assets/Animations/Weapon/A_Weapon_Staff_Attack_003.anim
Weapon_Staff_Attack_004,Assets/Animations/Weapon/A_Weapon_Staff_Attack_004.anim
