ID,Hair,BackHair,Head,Face,Hat,Accessory,Robe,UpperBody,LowerBody,BackStuff,HandStuff,LeftHand,RightHand
string,string,string,string,string,string,string,string,string,string,string,string,string,string
Miku_001,Hair_Miku_001,BackHair_Miku_001,Head_Miku_001,Face_Miku_001,,,,UpperBody_Miku_001,LowerBody_Miku_001,,,LeftHand_Miku_001,RightHand_Miku_001
72mono70nai_001,Hair_72mono70nai_001,BackHair_72mono70nai_001,Head_72mono70nai_001,Face_72mono70nai_001,,,,UpperBody_72mono70nai_001,LowerBody_72mono70nai_001,,,LeftHand_72mono70nai_001,RightHand_72mono70nai_001
Teto_001,Hair_Teto_001,BackHair_Teto_001,Head_Teto_001,Face_Teto_001,,,,UpperBody_Teto_001,LowerBody_Teto_001,,,LeftHand_Teto_001,RightHand_Teto_001
Neru_001,Hair_Neru_001,BackHair_Neru_001,Head_Neru_001,Face_Neru_001,,,,UpperBody_Neru_001,LowerBody_Neru_001,,,LeftHand_Neru_001,RightHand_Neru_001
DecoTelepathy_001,Hair_DecoTelepathy_001,BackHair_DecoTelepathy_001,Head_DecoTelepathy_001,Face_DecoTelepathy_001,,,,UpperBody_DecoTelepathy_001,LowerBody_DecoTelepathy_001,,,LeftHand_DecoTelepathy_001,RightHand_DecoTelepathy_001
LagTrain_001,Hair_LagTrain_001,BackHair_LagTrain_001,Head_LagTrain_001,Face_LagTrain_001,,,,UpperBody_LagTrain_001,LowerBody_LagTrain_001,,,LeftHand_LagTrain_001,RightHand_LagTrain_001
LemonMelonCookie_001,Hair_LemonMelonCookie_001,BackHair_LemonMelonCookie_001,Head_LemonMelonCookie_001,Face_LemonMelonCookie_001,,Accessory_LemonMelonCookie_001,,UpperBody_LemonMelonCookie_001,LowerBody_LemonMelonCookie_001,,,LeftHand_LemonMelonCookie_001,RightHand_LemonMelonCookie_001
Odotchina_Miku_001,Hair_Odotchina_Miku_001,BackHair_Odotchina_Miku_001,Head_Odotchina_Miku_001,Face_Odotchina_Miku_001,,Accessory_Odotchina_Miku_001,,UpperBody_Odotchina_Miku_001,LowerBody_Odotchina_Miku_001,,,LeftHand_Odotchina_Miku_001,RightHand_Odotchina_Miku_001
Odotchina_Teto_001,Hair_Odotchina_Teto_001,BackHair_Odotchina_Teto_001,Head_Odotchina_Teto_001,Face_Odotchina_Teto_001,Hat_Odotchina_Teto_001,,,UpperBody_Odotchina_Teto_001,LowerBody_Odotchina_Teto_001,,,LeftHand_Odotchina_Teto_001,RightHand_Odotchina_Teto_001
