ID,SoundPaths,Volume,Pitch,MaxDistance,Loop,Description
string,List<string>,float,float,float,bool,string
UIButton_On,Assets/Audios/Universal Sound FX/BUTTONS/BUTTON_Click_Jigsaw_Crop_02_stereo.wav,0.2,1,30,FALSE,UI 스위치 On
UIButton_Off,Assets/Audios/Universal Sound FX/BUTTONS/BUTTON_Click_Jigsaw_Faded_01_stereo.wav,0.2,1,30,FALSE,UI 스위치 Off
UIButton_Click,Assets/Audios/Universal Sound FX/BUTTONS/BUTTON_Plastic_Light_Switch_Off_mono.wav;Assets/Audios/Universal Sound FX/BUTTONS/BUTTON_Plastic_Light_Switch_On_mono.wav,0.2,1,30,FALSE,UI 버튼 클릭
Dialogue_Typing,,0.2,1,30,FALSE,대화 타이핑
MatchWin,,1,1,30,FALSE,매치 승리
MatchLose,,1,1,30,FALSE,매치 패배
MatchComplete,,1,1,30,FALSE,매치 종료
Action_001,Assets/Audios/Universal Sound FX/WHOOSHES/Martial_Arts/MARTIAL_ARTS_Kick_Punch_RR1_mono.wav,1,1,30,FALSE,
Action_002,Assets/Audios/Universal Sound FX/WHOOSHES/Martial_Arts/MARTIAL_ARTS_Kick_Punch_RR4_mono.wav,1,1,30,FALSE,
Action_003,Assets/Audios/Universal Sound FX/WHOOSHES/Martial_Arts/MARTIAL_ARTS_Kick_Punch_RR9_mono.wav,1,1,30,FALSE,
