ID,EffectType,IconPath,StatusEffectPrefab,Lifetime,WithdrawAtEnd,Stackable,Show,EffectParams
string,EStatusEffectType,SpritePath,AssetPath<GameObject>,float,bool,bool,bool,List<string>
SE_AttackCooldownTime_Start,AttackCooldownTime,Assets,Assets/Prefabs/Combat/StatusEffectObj/StatusEffectBase.prefab,0,TRUE,TRUE,TRUE,AttackCooldownTime=-1;0;0
SE_Cover,Cover,Assets,Assets/Prefabs/Combat/StatusEffectObj/StatusEffectBase.prefab,0,TRUE,FALSE,TRUE,Cover=2;0;0
SE_CriticalProbability_Start,CriticalProbability,Assets,Assets/Prefabs/Combat/StatusEffectObj/StatusEffectBase.prefab,0,TRUE,TRUE,TRUE,CriticalProbability=0.1;0;0
SE_CriticalRatio_Start,CriticalRatio,Assets,Assets/Prefabs/Combat/StatusEffectObj/StatusEffectBase.prefab,0,TRUE,TRUE,TRUE,CriticalRatio=0.1;0;0
SE_CriticalRatio_Damage,Damage,Assets,Assets/Prefabs/Combat/StatusEffectObj/StatusEffectBase.prefab,5,TRUE,TRUE,TRUE,Damage=10;0;0
SE_Heal_Finish,Health,Assets,Assets/Prefabs/Combat/StatusEffectObj/StatusEffectBase.prefab,5,FALSE,TRUE,TRUE,Health=0;0;100
SE_Heal_Start,Health,Assets,Assets/Prefabs/Combat/StatusEffectObj/StatusEffectBase.prefab,0,FALSE,TRUE,TRUE,Health=100;0;0
SE_Heal_Update,Health,Assets,Assets/Prefabs/Combat/StatusEffectObj/StatusEffectBase.prefab,5,FALSE,TRUE,TRUE,Health=2;2;2
SE_Interact_Start,InteractSpeed,Assets,Assets/Prefabs/Combat/StatusEffectObj/StatusEffectBase.prefab,0,TRUE,TRUE,TRUE,InteractSpeed=1;0;0
SE_JumpHeight_Start,JumpHeight,Assets,Assets/Prefabs/Combat/StatusEffectObj/StatusEffectBase.prefab,0,TRUE,TRUE,TRUE,JumpHeight=2;0;0
SE_LearningAbility_Start,LearningAbility,Assets,Assets/Prefabs/Combat/StatusEffectObj/StatusEffectBase.prefab,0,TRUE,TRUE,TRUE,LearningAbility=0.5;0;0
SE_MaxHealth_Start,MaxHealth,Assets,Assets/Prefabs/Combat/StatusEffectObj/StatusEffectBase.prefab,0,TRUE,TRUE,TRUE,MaxHealth=100;0;0
SE_PerceptionAngle_Start,PerceptionAngle,Assets,Assets/Prefabs/Combat/StatusEffectObj/StatusEffectBase.prefab,0,TRUE,TRUE,TRUE,PerceptionAngle=30;0;0
SE_PerceptionCircleRange_Start,PerceptionCircleRange,Assets,Assets/Prefabs/Combat/StatusEffectObj/StatusEffectBase.prefab,0,TRUE,TRUE,TRUE,PerceptionCircleRange=3;0;0
SE_PerceptionFocusRange_Start,PerceptionFocusRange,Assets,Assets/Prefabs/Combat/StatusEffectObj/StatusEffectBase.prefab,0,TRUE,TRUE,TRUE,PerceptionFocusRange=30;0;0
SE_Sanction,Sanctioned,Assets,Assets/Prefabs/Combat/StatusEffectObj/StatusEffect_Sanction.prefab,2,FALSE,FALSE,TRUE,Sanctioned=0;0;0
SE_Speed_Start,Speed,Assets,Assets/Prefabs/Combat/StatusEffectObj/StatusEffectBase.prefab,0,TRUE,TRUE,TRUE,Speed=2;0;0
SE_UseSkill_Start,UseSkill,Assets,Assets/Prefabs/Combat/StatusEffectObj/StatusEffectBase.prefab,0,FALSE,TRUE,TRUE,UseSkill=0;0;0
